Country name,Regional Indicator,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Finland,Western Europe,0.954,72.0,0.949,-0.098,0.186
Denmark,Western Europe,0.954,72.7,0.946,0.03,0.179
Switzerland,Western Europe,0.942,74.4,0.919,0.025,0.292
Iceland,Western Europe,0.983,73.0,0.955,0.16,0.673
Netherlands,Western Europe,0.942,72.4,0.913,0.175,0.338
Norway,Western Europe,0.954,73.3,0.96,0.093,0.27
Sweden,Western Europe,0.934,72.7,0.945,0.086,0.237
Luxembourg,Western Europe,0.908,72.6,0.907,-0.034,0.386
Austria,Western Europe,0.934,73.3,0.908,0.042,0.481
Germany,Western Europe,0.903,72.5,0.875,0.011,0.46
Ireland,Western Europe,0.947,72.4,0.879,0.077,0.363
United Kingdom,Western Europe,0.934,72.5,0.859,0.233,0.459
Belgium,Western Europe,0.906,72.199,0.783,-0.153,0.646
France,Western Europe,0.942,74.0,0.822,-0.147,0.571
Malta,Western Europe,0.931,72.2,0.927,0.133,0.653
Spain,Western Europe,0.932,74.7,0.761,-0.081,0.745
Italy,Western Europe,0.88,73.8,0.693,-0.084,0.866
Cyprus,Western Europe,0.802,73.898,0.763,-0.015,0.844
Portugal,Western Europe,0.879,72.6,0.892,-0.244,0.887
Greece,Western Europe,0.823,72.6,0.582,-0.288,0.823
North Cyprus,Western Europe,0.82,73.898,0.795,0.012,0.626
